iter	Passed	Remaining
0	3	704
1	6	678
2	9	646
3	12	623
4	15	622
5	19	616
6	21	603
7	25	600
8	27	592
9	30	588
10	34	586
11	37	591
12	41	594
13	44	589
14	48	596
15	51	593
16	54	590
17	58	595
18	62	592
19	65	588
20	68	587
21	73	594
22	76	588
23	79	582
24	82	579
25	85	573
26	89	571
27	92	569
28	96	566
29	99	564
30	103	562
31	106	557
32	109	556
33	112	551
34	115	546
35	119	543
36	122	539
37	125	534
38	128	528
39	130	523
40	133	516
41	135	511
42	138	504
43	141	501
44	144	498
45	147	492
46	149	486
47	152	482
48	154	476
49	157	471
50	159	466
51	161	460
52	164	455
53	166	450
54	169	447
55	172	443
56	174	438
57	177	433
58	179	429
59	181	424
60	184	420
61	187	416
62	189	411
63	192	408
64	194	403
65	196	399
66	199	395
67	201	391
68	204	387
69	206	383
70	208	379
71	211	375
72	213	371
73	216	368
74	219	365
75	221	361
76	223	357
77	226	353
78	228	350
79	230	346
80	234	343
81	236	340
82	238	336
83	241	332
84	243	329
85	245	325
86	249	323
87	252	321
88	255	319
89	259	316
90	261	313
91	265	311
92	268	309
93	272	306
94	275	304
95	293	317
96	296	314
97	299	311
98	301	307
99	304	304
100	306	300
101	309	297
102	311	293
103	314	290
104	316	286
105	318	282
106	321	279
107	323	275
108	325	272
109	328	268
110	331	265
111	333	262
112	335	258
113	338	255
114	340	251
115	343	248
116	345	245
117	347	241
118	350	238
119	352	235
120	354	231
121	357	228
122	359	224
123	361	221
124	364	218
125	366	215
126	368	212
127	371	208
128	373	205
129	375	202
130	378	199
131	380	196
132	382	192
133	384	189
134	387	186
135	389	183
136	391	180
137	394	177
138	396	174
139	398	170
140	400	167
141	403	164
142	405	161
143	408	158
144	410	155
145	412	152
146	415	149
147	417	146
148	419	143
149	422	140
150	424	137
151	426	134
152	429	131
153	431	128
154	434	126
155	436	123
156	438	120
157	440	117
158	443	114
159	446	111
160	448	108
161	451	105
162	454	103
163	456	100
164	458	97
165	461	94
166	464	91
167	466	88
168	468	86
169	471	83
170	473	80
171	476	77
172	478	74
173	481	71
174	483	69
175	485	66
176	488	63
177	490	60
178	492	57
179	495	55
180	497	52
181	499	49
182	502	46
183	504	43
184	507	41
185	509	38
186	512	35
187	514	32
188	516	30
189	519	27
190	521	24
191	524	21
192	526	19
193	528	16
194	530	13
195	533	10
196	535	8
197	537	5
198	540	2
199	542	0
